회원번호,회원상태,성별,나이,결혼,구독여부,총구매액,가루,건강일반,건어물,견과,과실주,과일,과일채소,과자,기름/식초,김장채소,김치,꿀,냉동수산,닭/오리,돼지,두부/유부,떡,말린나물/건재,멥쌀,밀가공,밑반찬,버섯,보리/혼합곡,빵,뿌리채소,생물수산,생활용품,섬유,세제/세안,소,소금,소스/기타양념,손질한채소,수산가공,식기/편백,식사대용,쌈채소류,알,양념채소,어묵/묵,열매채소,유색미/발아미,유제품,육가공,음료,잎/줄기채소,장,잼/병조림/기타,전통주,절임/장아찌,중량(정육),즉석조리,차,찹쌀,콩/화본/깨,콩나물,해조,홍삼/녹용,화장품
20588608,True,여,43,불명,False,6892801,1,0,6,0,0,25,17,13,7,0,0,0,1,8,3,13,58,3,3,26,19,3,0,47,38,0,3,1,1,44,7,5,1,3,1,14,3,21,7,1,22,0,6,21,7,8,2,3,9,4,0,4,0,0,0,3,1,0,2
20636864,True,여,58,불명,False,1615531,4,0,6,0,0,0,0,1,1,0,0,0,1,9,7,19,4,0,5,4,0,0,0,1,17,1,11,0,8,3,0,1,0,1,0,0,0,0,4,2,0,0,0,0,1,4,7,0,0,0,0,0,0,0,0,5,4,0,11
21134272,True,여,41,불명,False,164354,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
21457216,True,여,48,불명,False,17038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21982464,True,여,42,기혼,0,452469,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,7,1,1,1,9,0,2,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,4,0,0,0,0,0,0,5,2,1,2,11,0,0
22112384,True,여,52,불명,False,24026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22259008,True,여,46,기혼,0,318557,1,0,1,1,0,0,0,3,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,3,0,0,0,1,3,0,0,0,2,0,0,0,0,0,1,0,0,0
22270144,True,여,44,불명,False,6236273,3,1,4,0,0,13,16,22,3,0,5,6,1,4,9,18,1,4,3,19,7,0,0,36,5,0,2,0,3,6,2,5,0,5,3,18,7,9,6,11,17,0,60,28,12,27,0,3,0,8,17,4,0,3,3,8,2,0,4
22990272,True,여,62,불명,False,524454,2,0,1,0,0,0,0,1,3,0,0,0,0,0,1,6,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,8,0,2,1,0,0,0
23437568,True,여,48,기혼,0,649870,0,2,3,0,0,0,0,0,2,0,2,0,2,0,1,4,1,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,1,5,4,1,3,0,0,2,0,7,0,1,0,0,1,0,0,0,2,1,2,0,0
23485824,True,여,41,기혼,False,125395,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23573056,True,여,41,기혼,0,3733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24098304,True,여,58,기혼,True,11104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24883392,True,여,65,기혼,False,5337466,9,0,13,1,0,8,15,17,6,0,0,0,17,3,5,14,2,0,2,18,5,17,0,5,35,6,1,0,1,6,0,7,0,2,0,0,53,16,36,6,36,1,35,0,3,46,3,0,0,0,0,0,0,0,16,1,8,0,1
25145088,True,여,47,불명,False,401452,4,0,6,1,0,0,0,1,2,0,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26110208,True,여,38,기혼,False,34843,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26355200,True,여,64,미혼,0,2198352,4,0,7,1,0,11,6,8,1,0,0,0,0,0,0,22,42,1,13,21,1,7,0,18,10,0,0,0,0,1,0,0,3,0,0,1,12,12,2,3,12,0,1,0,1,18,0,0,0,1,0,0,2,0,1,3,2,0,1
26676288,True,여,38,기혼,False,131521,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
27021504,True,여,45,기혼,False,13975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27066048,True,여,49,기혼,False,859567,2,0,0,0,0,3,1,0,0,0,0,0,1,0,0,2,1,0,1,1,4,3,0,13,0,0,0,0,4,0,0,0,0,3,0,0,0,8,4,1,6,0,7,0,6,9,1,0,0,0,0,0,0,0,0,3,0,0,0
27210816,True,여,48,불명,False,15315,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27387136,True,여,49,미혼,False,560061,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,0,3,0,0,1,8,0,0,0,0,0,2,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0
28394944,True,여,45,기혼,True,1388916,1,0,2,0,0,0,1,2,0,0,0,0,0,13,1,3,1,0,2,6,8,4,6,0,8,0,0,0,0,2,1,2,0,0,0,0,1,0,14,0,12,1,1,9,4,14,0,0,0,1,0,0,0,1,6,5,9,0,0
28871936,True,여,40,기혼,False,208287,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,2,0,2,0,0,0,0,0,4,0,0,0
29658880,True,여,66,불명,False,41734,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29868608,True,여,57,불명,False,54081,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30215680,True,여,46,불명,0,105793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0
31691200,True,여,39,기혼,False,1282825,1,0,1,0,0,0,2,30,1,0,0,0,0,0,4,5,5,1,0,11,7,4,0,10,1,0,0,0,0,1,0,6,0,3,0,10,0,1,1,4,5,0,0,6,4,1,0,1,0,1,0,0,0,1,2,0,1,1,2
37188672,True,여,54,불명,False,1911831,3,2,3,0,0,0,2,7,3,0,0,0,1,3,1,8,0,0,0,4,18,1,0,4,2,1,0,0,0,1,0,3,0,3,2,1,0,7,3,6,1,0,0,3,20,6,0,1,0,0,0,0,0,1,3,5,1,0,0
37253632,True,여,43,기혼,False,24122,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37314880,True,여,67,기혼,False,33119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37415104,True,여,48,불명,0,323767,0,0,2,0,0,1,2,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,0,0
37584000,True,여,43,기혼,False,2067087,3,0,2,2,0,5,3,6,7,0,0,0,2,2,0,9,6,1,4,0,1,5,0,17,5,0,0,0,0,1,1,1,0,1,0,0,5,21,11,0,17,0,2,2,2,26,0,0,1,1,0,0,0,5,8,1,3,0,0
38270720,True,여,62,불명,False,50541,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38588096,True,여,42,기혼,True,6752681,4,2,3,2,0,36,24,37,6,0,2,0,21,1,0,20,22,1,5,10,8,9,1,5,9,12,4,0,4,4,0,3,0,6,2,7,11,14,16,1,41,1,47,1,10,48,1,0,2,1,7,0,2,4,2,11,4,0,0
38593664,True,여,48,미혼,0,49393,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38808960,True,여,63,불명,False,3192769,5,1,5,4,0,8,2,7,2,0,4,3,1,0,0,7,1,0,2,24,14,6,5,0,9,0,1,0,5,0,0,2,0,0,0,3,3,9,6,1,8,2,5,2,9,10,6,0,0,0,0,0,3,0,6,12,1,0,0
38842368,True,여,51,기혼,False,553939,1,0,1,1,0,1,1,3,0,0,0,1,1,0,1,12,1,0,0,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,10,2,0,0,0,0,2,1,1,0,0,2,2,0,0,0,0,1,8,1,0,0
38859072,True,여,49,불명,False,39629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38862784,True,여,64,기혼,False,1070801,4,1,0,0,0,8,3,1,0,0,2,0,6,1,2,5,11,0,0,1,0,0,0,0,3,1,0,0,2,4,0,2,0,1,0,1,4,6,3,1,8,0,0,1,0,9,1,0,0,1,1,0,0,0,0,0,2,0,0
38866496,False,여,64,기혼,0,13401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38903616,True,여,55,기혼,False,444813,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,7,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,5,0,0
38918464,True,여,58,불명,True,2905911,2,0,5,2,0,9,3,3,8,0,0,1,0,2,3,23,1,4,2,3,7,3,0,1,15,4,0,0,1,0,0,0,1,6,0,2,6,23,34,0,47,0,1,8,0,58,0,0,0,3,0,0,0,1,1,4,1,0,3
38933312,True,여,65,불명,False,407006,0,0,0,0,0,2,4,0,0,0,0,0,2,0,4,2,2,0,0,4,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,1,3,1,2,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,0,0,0
38955584,True,여,56,기혼,False,404993,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,3,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,6,5,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0
38959296,True,여,49,기혼,False,5959978,5,18,15,0,0,12,20,20,4,0,0,0,16,21,1,26,0,4,0,21,3,14,0,6,23,19,10,0,5,6,2,10,0,0,0,2,9,21,33,1,88,0,2,7,3,81,5,5,3,6,41,1,3,2,3,12,15,0,1
38968576,True,여,65,불명,False,132477,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39053952,True,여,52,기혼,0,1258103,2,0,1,0,0,2,1,15,0,0,0,0,6,4,4,14,0,0,0,4,2,1,0,4,1,1,4,0,2,2,0,1,1,2,0,0,0,12,1,8,5,0,1,1,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0
39284096,True,여,47,기혼,False,39016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39287808,True,여,40,불명,False,107589,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39376896,True,여,44,기혼,False,122378,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
39382464,True,여,42,기혼,False,7376992,3,4,16,2,4,7,12,39,8,0,0,2,10,8,4,10,23,2,4,46,13,6,0,12,27,10,7,0,9,11,1,7,1,6,0,6,7,39,21,13,45,0,33,10,10,32,4,1,4,3,7,4,3,0,2,13,3,3,2
39547648,True,여,53,기혼,0,18187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39640448,True,여,39,기혼,0,192398,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
39653440,True,여,70,불명,False,902932,1,1,0,0,0,2,1,1,0,0,1,0,3,0,0,6,1,0,0,4,1,2,0,7,1,0,4,1,2,1,0,1,0,1,0,0,4,1,3,1,4,0,9,2,12,10,0,0,0,1,0,3,1,0,2,3,1,0,3
39820480,True,여,61,기혼,True,735822,1,1,0,1,0,5,7,2,0,0,0,0,0,0,0,6,0,0,2,2,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,9,5,3,0,10,0,1,0,2,37,0,0,0,0,0,0,0,0,1,2,1,0,0
39955968,True,여,65,불명,False,41735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40124864,True,여,48,기혼,False,95912,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40822720,True,여,47,기혼,False,19527,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40898816,True,여,49,기혼,False,9572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40969344,True,여,55,불명,False,20867,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41104832,True,여,44,기혼,False,3213387,4,0,3,1,0,5,2,0,2,0,0,0,2,28,11,23,2,8,0,2,0,1,2,9,6,1,0,0,1,10,0,2,0,1,0,0,11,15,8,0,10,0,3,6,1,26,0,0,0,2,0,0,1,0,3,10,3,0,0
41307136,True,여,45,기혼,False,6701,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41396224,True,여,54,기혼,False,13209,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41600384,True,여,58,불명,False,1399027,1,1,12,4,0,1,0,0,0,0,0,0,1,0,0,2,0,0,3,3,1,2,0,0,10,3,1,0,1,0,0,2,0,1,1,1,1,0,8,0,5,0,1,1,0,7,1,0,1,0,4,0,1,0,6,0,3,0,0
41739584,True,여,51,불명,True,51690,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41754432,True,여,63,불명,True,3741144,0,0,5,1,0,30,19,11,1,0,0,0,0,0,2,5,1,0,1,6,0,0,2,16,3,0,1,0,3,0,0,3,2,1,0,2,0,33,5,0,18,0,1,1,8,33,0,0,0,0,0,0,6,1,1,0,2,0,0
42058816,True,여,48,불명,False,770853,1,0,0,0,0,0,0,0,1,0,0,0,2,1,2,2,1,0,1,9,0,0,0,6,2,0,1,0,1,2,1,0,0,0,0,5,1,2,4,0,0,0,2,0,7,4,1,1,0,1,0,1,0,0,0,1,2,0,4
42097792,True,여,45,기혼,False,80597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42140480,True,여,39,기혼,False,345549,1,1,0,0,0,2,0,5,0,0,1,0,0,0,0,4,2,0,1,1,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,3,3,0,2,0,1,0,0,4,0,1,0,1,0,0,0,0,0,0,2,0,0
42307520,True,여,45,불명,False,737875,0,0,0,0,0,0,2,9,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,4,0,13,0,0,1,0,0,0,5,0,8,2,0,3,0,0,2,9,3,0,0,0,7,0,1,1,0,0,0,0,0,0
42402176,True,여,40,기혼,False,481481,0,0,1,0,0,2,1,0,0,0,0,0,0,4,0,2,0,0,0,0,1,2,0,0,3,0,0,0,0,1,1,0,0,0,0,0,3,0,2,2,5,0,0,2,0,8,0,0,0,0,5,0,0,0,0,2,0,0,0
42474560,True,여,42,불명,0,2520726,0,3,0,0,0,3,1,8,1,0,0,2,7,0,6,12,4,2,18,3,4,2,0,1,0,0,13,0,12,0,0,0,0,2,0,7,5,17,7,9,5,0,0,18,1,6,2,0,0,0,0,6,2,0,2,9,0,0,7
42955264,True,여,59,기혼,False,1003441,1,0,3,0,0,0,0,11,1,0,0,0,5,0,2,1,0,0,5,1,0,1,0,3,2,0,0,0,5,5,0,1,0,1,0,2,0,0,2,2,1,0,0,7,14,3,1,1,0,0,0,0,0,1,0,1,1,0,1
43343168,True,여,49,불명,True,10338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43426688,True,여,47,불명,False,4470541,8,0,4,1,0,15,6,8,4,0,1,1,2,2,2,15,2,4,0,41,1,4,0,0,1,4,0,0,0,16,0,2,0,1,1,0,1,40,11,0,11,0,24,4,22,31,15,0,0,1,0,1,0,0,3,18,8,0,0
43872128,True,여,50,기혼,False,136974,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43924096,True,여,44,기혼,False,186081,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44076288,True,여,52,기혼,False,924897,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,5
44486464,True,여,41,불명,True,347083,0,0,0,0,0,2,0,11,0,0,1,0,0,1,1,1,0,0,0,0,2,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44620096,True,여,44,불명,False,302668,0,1,0,0,0,0,0,7,0,0,0,0,0,3,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
44666496,True,여,39,불명,False,29386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44844672,True,여,48,불명,False,569826,0,0,0,0,0,2,0,0,0,0,1,0,2,2,0,0,1,0,3,1,1,0,0,11,1,0,0,0,0,0,0,2,0,1,0,0,1,2,3,0,4,0,0,2,3,2,2,0,0,0,0,0,0,1,0,2,1,0,0
45022848,True,남,51,불명,False,608115,5,0,0,0,0,0,0,2,1,0,0,0,0,2,3,3,0,1,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45364352,True,여,48,기혼,False,664781,2,0,0,0,0,1,3,12,2,0,0,0,2,0,1,2,0,0,0,4,3,3,1,7,2,2,0,0,0,0,1,1,0,2,0,2,0,4,2,3,0,0,1,3,2,1,1,0,0,0,0,4,0,0,0,3,0,0,0
45520256,True,여,53,불명,False,320855,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,1,3,0,0,0,0,0,2,0,0,1,0,0,0
45932288,True,여,43,미혼,True,2383288,0,0,3,9,0,0,0,27,6,0,0,4,1,0,1,33,4,0,0,9,0,3,0,1,6,0,2,0,0,0,1,0,0,1,1,5,7,20,9,0,5,0,0,1,3,8,2,0,0,0,11,0,0,4,0,3,11,0,2
